BQS,topk,marginal,curvature,dualfit_min,dualfit_avg,k,n,trial
871.3389376886698,912.3010774174663,1143.6603888171,0.8352437187562922,1143.6603888171005,9717.20288911227,20,571,1
1339.374991238939,1437.919910155891,1771.5003196690107,0.8221731088355241,1771.5003196690104,30467.070652962146,40,571,1
1655.1573891486698,1809.1238223035361,2218.571183839215,0.8210940097811119,2218.5711838392217,58180.97755404395,60,571,1
1891.858803915778,2096.450809866561,2493.7757202479675,0.8210940097811119,2493.775720247959,91021.92503820613,80,571,1
2085.7012743624705,2332.168970077196,2754.310904415977,0.8210940097811119,2754.310904415971,128027.46952081099,100,571,1
2247.3835274391167,2532.463815842173,2936.3939864583713,0.8210940097811119,2936.3939864583617,168441.97633634612,120,571,1
2383.2114803542427,2706.235256253231,3102.5573433621794,0.8210940097811119,3097.8280411747696,211728.30143459744,140,571,1
2496.750694177673,2855.089864429964,3171.305468383082,0.8210940097811119,3171.3054683830633,257527.3481128525,160,571,1
2592.370822912003,2986.3498372118743,3193.0069898976735,0.8210940097811119,3277.3321286201935,305498.3009065729,180,571,1
2676.0546871754486,3103.4498698620264,3193.0069898976735,0.8210940097811119,3374.4636455842156,355300.8529988983,200,571,1
